------------------------------------------------------------
Server listening on UDP port 5001 with pid 1752
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 51655
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 33567
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37758
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 41594
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 54039
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.798 ms    0/  892 (0%) 15.897/13.446/26.531/ 3.108 ms   89 pps  8.25
[  4] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.826 ms    0/  892 (0%) 15.896/13.451/26.530/ 3.126 ms   89 pps  8.25
[  5] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.825 ms    0/  892 (0%) 15.896/13.423/26.410/ 3.125 ms   89 pps  8.25
[  6] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.823 ms    0/  892 (0%) 15.895/13.418/26.531/ 3.108 ms   89 pps  8.25
[  7] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.829 ms    0/  892 (0%) 15.906/13.450/26.531/ 3.146 ms   89 pps  8.24
[SUM] 110.0000-120.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.865 ms    0/  891 (0%) 15.978/13.432/27.997/ 3.225 ms   89 pps  8.20
[  4] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.820 ms    0/  891 (0%) 15.962/13.405/27.997/ 3.214 ms   89 pps  8.21
[  5] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.825 ms    0/  891 (0%) 15.958/13.442/27.997/ 3.213 ms   89 pps  8.21
[  6] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.813 ms    0/  891 (0%) 15.974/13.470/27.873/ 3.228 ms   89 pps  8.20
