------------------------------------------------------------
Server listening on UDP port 5001 with pid 61806
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 40211
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 49206
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 60658
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 43853
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 55747
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  7] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.989 ms    0/  892 (0%) 10.473/ 7.962/20.960/ 3.200 ms   89 pps  12.52
[SUM] 130.0000-140.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.759 ms    0/  890 (0%) 10.467/ 7.920/21.220/ 3.154 ms   89 pps  12.50
[  4] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.721 ms    0/  890 (0%) 10.457/ 7.930/21.095/ 3.127 ms   89 pps  12.51
[  5] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.776 ms    0/  890 (0%) 10.453/ 8.008/21.219/ 3.148 ms   89 pps  12.52
[  6] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.778 ms    0/  890 (0%) 10.475/ 7.996/21.220/ 3.148 ms   89 pps  12.49
[  7] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.759 ms    0/  890 (0%) 10.469/ 7.967/21.220/ 3.145 ms   89 pps  12.50
[SUM] 140.0000-150.0000 sec  6.24 MBytes  5.23 Mbits/sec  0/4450        0 pps
[  3] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.169 ms    0/  893 (0%) 10.430/ 7.965/23.736/ 3.135 ms   89 pps  12.59
[  4] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.146 ms    0/  893 (0%) 10.415/ 7.932/23.737/ 3.128 ms   89 pps  12.60
[  5] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.284 ms    0/  893 (0%) 10.419/ 7.554/23.614/ 3.144 ms   89 pps  12.60
[  6] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.156 ms    0/  893 (0%) 10.445/ 7.884/23.737/ 3.143 ms   89 pps  12.57
[  7] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.166 ms    0/  893 (0%) 10.402/ 7.509/23.737/ 3.129 ms   89 pps  12.62
[SUM] 150.0000-160.0000 sec  6.26 MBytes  5.25 Mbits/sec  0/4465        0 pps
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.663 ms    0/  892 (0%) 10.528/ 7.664/21.463/ 3.261 ms   89 pps  12.46
[  4] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.688 ms    0/  892 (0%) 10.527/ 7.698/21.327/ 3.258 ms   89 pps  12.46
[  5] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.626 ms    0/  892 (0%) 10.526/ 7.722/21.463/ 3.247 ms   89 pps  12.46
[  6] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.644 ms    0/  892 (0%) 10.517/ 7.669/21.463/ 3.244 ms   89 pps  12.47
[  7] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.632 ms    0/  892 (0%) 10.517/ 7.620/21.462/ 3.257 ms   89 pps  12.47
[SUM] 160.0000-170.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.065 ms    0/  891 (0%) 10.481/ 7.665/21.953/ 3.186 ms   89 pps  12.50
[  4] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.143 ms    0/  891 (0%) 10.463/ 7.473/21.825/ 3.198 ms   89 pps  12.52
[  5] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.082 ms    0/  891 (0%) 10.483/ 7.693/21.952/ 3.179 ms   89 pps  12.49
[  6] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.069 ms    0/  891 (0%) 10.478/ 7.618/21.953/ 3.176 ms   89 pps  12.50
[  7] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.148 ms    0/  891 (0%) 10.486/ 7.668/21.953/ 3.178 ms   89 pps  12.49
[SUM] 170.0000-180.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.035 ms    0/  892 (0%) 10.182/ 7.625/20.451/ 3.024 ms   89 pps  12.88
[  4] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.027 ms    0/  892 (0%) 10.162/ 7.692/20.567/ 3.026 ms   89 pps  12.90
[  5] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.040 ms    0/  892 (0%) 10.157/ 7.781/20.443/ 3.021 ms   89 pps  12.91
[  6] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.018 ms    0/  892 (0%) 10.172/ 7.752/20.506/ 3.026 ms   89 pps  12.89
[  7] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.058 ms    0/  892 (0%) 10.185/ 7.748/20.516/ 3.020 ms   89 pps  12.87
[SUM] 180.0000-190.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.090 ms    0/  892 (0%) 10.275/ 7.835/20.951/ 3.067 ms   89 pps  12.76
[  4] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.076 ms    0/  892 (0%) 10.271/ 7.744/20.816/ 3.070 ms   89 pps  12.77
[  5] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.073 ms    0/  892 (0%) 10.295/ 7.836/20.950/ 3.085 ms   89 pps  12.74
[  6] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.091 ms    0/  892 (0%) 10.288/ 7.792/20.951/ 3.075 ms   89 pps  12.75
[  7] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.070 ms    0/  892 (0%) 10.296/ 7.835/20.951/ 3.086 ms   89 pps  12.74
[SUM] 190.0000-200.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.958 ms    0/  891 (0%) 10.366/ 7.945/21.207/ 3.056 ms   89 pps  12.64
[  4] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.867 ms    0/  891 (0%) 10.356/ 7.936/21.207/ 3.052 ms   89 pps  12.65
[  5] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.863 ms    0/  891 (0%) 10.372/ 7.934/21.080/ 3.052 ms   89 pps  12.63
[  6] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.881 ms    0/  891 (0%) 10.364/ 7.952/21.207/ 3.056 ms   89 pps  12.64
[  7] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.865 ms    0/  891 (0%) 10.361/ 7.942/21.206/ 3.047 ms   89 pps  12.64
[SUM] 200.0000-210.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.397 ms    0/  892 (0%) 10.378/ 7.757/20.949/ 3.137 ms   89 pps  12.63
[  4] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.273 ms    0/  892 (0%) 10.343/ 7.810/21.057/ 3.113 ms   89 pps  12.68
