------------------------------------------------------------
Server listening on UDP port 5001 with pid 4909
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37527
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 1000.0000-1010.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.005 ms    0/  892 (0%)  4.315/ 2.821/15.166/ 1.080 ms   89 pps  30.39
[  3] 1010.0000-1020.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.020 ms    0/  892 (0%)  4.376/ 2.890/13.005/ 0.928 ms   89 pps  29.96
[  3] 1020.0000-1030.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.961 ms    0/  891 (0%)  4.505/ 3.023/ 8.133/ 0.887 ms   89 pps  29.07
[  3] 1030.0000-1040.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.077 ms    0/  892 (0%)  4.652/ 3.147/15.570/ 1.104 ms   89 pps  28.19
[  3] 1040.0000-1050.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.021 ms    0/  892 (0%)  4.658/ 3.141/13.750/ 0.944 ms   89 pps  28.15
[  3] 1050.0000-1060.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.333 ms    0/  891 (0%)  4.669/ 3.051/17.524/ 1.071 ms   89 pps  28.05
[  3] 1060.0000-1070.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.880 ms    0/  892 (0%)  4.713/ 3.134/15.802/ 0.978 ms   89 pps  27.82
[  3] 1070.0000-1080.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.006 ms    0/  892 (0%)  4.811/ 2.971/17.303/ 1.003 ms   89 pps  27.26
[  3] 1080.0000-1090.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.089 ms    0/  891 (0%)  4.368/ 2.719/17.504/ 1.253 ms   89 pps  29.99
[  3] 1090.0000-1100.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.182 ms    0/  892 (0%)  4.376/ 2.830/17.416/ 1.036 ms   89 pps  29.96
[  3] 1100.0000-1110.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.145 ms    0/  892 (0%)  4.561/ 2.950/17.661/ 1.266 ms   89 pps  28.75
[  3] 1110.0000-1120.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.033 ms    0/  891 (0%)  4.639/ 3.181/15.651/ 1.021 ms   89 pps  28.23
[  3] 1120.0000-1130.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.945 ms    0/  892 (0%)  4.774/ 3.236/16.755/ 1.126 ms   89 pps  27.46
[  3] 1130.0000-1140.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.218 ms    0/  892 (0%)  4.778/ 3.221/ 9.565/ 0.885 ms   89 pps  27.44
