------------------------------------------------------------
Server listening on UDP port 5005 with pid 160515
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5005 connected with 192.168.241.15 port 42558
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 1800.0000-1810.0000 sec   323 KBytes   265 Kbits/sec  33.827 ms  667/  892 (75%) -/-/-/- ms   23 pps
[  3] 1810.0000-1820.0000 sec   357 KBytes   293 Kbits/sec  57.105 ms  490/  739 (66%) -/-/-/- ms   25 pps
[  3] 1820.0000-1830.0000 sec   342 KBytes   280 Kbits/sec  30.868 ms  639/  877 (73%) -/-/-/- ms   24 pps
[  3] 1830.0000-1840.0000 sec   317 KBytes   260 Kbits/sec  46.709 ms  676/  897 (75%) -/-/-/- ms   22 pps
[  3] 1840.0000-1850.0000 sec   314 KBytes   258 Kbits/sec  60.537 ms  680/  899 (76%) -/-/-/- ms   22 pps
[  3] 1850.0000-1860.0000 sec   271 KBytes   222 Kbits/sec  45.435 ms  668/  857 (78%) -/-/-/- ms   19 pps
[  3] 1860.0000-1870.0000 sec   307 KBytes   252 Kbits/sec  40.009 ms  694/  908 (76%) -/-/-/- ms   21 pps
[  3] 1870.0000-1880.0000 sec   309 KBytes   253 Kbits/sec  46.544 ms  670/  885 (76%) -/-/-/- ms   21 pps
[  3] 1880.0000-1890.0000 sec   284 KBytes   233 Kbits/sec  37.957 ms  687/  885 (78%) -/-/-/- ms   20 pps
[  3] 1890.0000-1900.0000 sec   260 KBytes   213 Kbits/sec  62.704 ms  654/  835 (78%) -/-/-/- ms   18 pps
[  3] 1900.0000-1910.0000 sec   241 KBytes   198 Kbits/sec  50.465 ms  525/  693 (76%) -/-/-/- ms   17 pps
[  3] 1910.0000-1920.0000 sec   281 KBytes   230 Kbits/sec  46.948 ms  686/  882 (78%) -/-/-/- ms   20 pps
[  3] 1920.0000-1930.0000 sec   349 KBytes   286 Kbits/sec  51.655 ms  680/  923 (74%) -/-/-/- ms   24 pps
[  3] 1930.0000-1940.0000 sec   303 KBytes   248 Kbits/sec  47.974 ms  642/  853 (75%) -/-/-/- ms   21 pps
[  3] 1940.0000-1950.0000 sec   337 KBytes   276 Kbits/sec  42.635 ms  618/  853 (72%) -/-/-/- ms   24 pps
[  3] 1950.0000-1960.0000 sec   317 KBytes   260 Kbits/sec  44.927 ms  651/  872 (75%) -/-/-/- ms   22 pps
