------------------------------------------------------------
Server listening on UDP port 5001 with pid 166834
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5001 connected with 192.168.241.15 port 44095
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 1200.0000-1210.0000 sec   115 KBytes  94.1 Kbits/sec  87.302 ms  727/  807 (90%) -/-/-/- ms    8 pps
[  3] 1210.0000-1220.0000 sec   159 KBytes   131 Kbits/sec  80.202 ms  711/  822 (86%) -/-/-/- ms   11 pps
[  3] 1220.0000-1230.0000 sec   146 KBytes   120 Kbits/sec  80.828 ms  745/  847 (88%) -/-/-/- ms   10 pps
[  3] 1230.0000-1240.0000 sec   151 KBytes   123 Kbits/sec  86.677 ms  808/  913 (88%) -/-/-/- ms   11 pps
[  3] 1240.0000-1250.0000 sec   179 KBytes   147 Kbits/sec  78.422 ms  782/  907 (86%) -/-/-/- ms   13 pps
[  3] 1250.0000-1260.0000 sec   167 KBytes   136 Kbits/sec  96.420 ms  846/  962 (88%) -/-/-/- ms   12 pps
[  3] 1260.0000-1270.0000 sec   185 KBytes   152 Kbits/sec  73.261 ms  741/  870 (85%) -/-/-/- ms   13 pps
[  3] 1270.0000-1280.0000 sec   159 KBytes   131 Kbits/sec  92.470 ms  810/  921 (88%) -/-/-/- ms   11 pps
[  3] 1280.0000-1290.0000 sec   178 KBytes   146 Kbits/sec  58.646 ms  784/  908 (86%) -/-/-/- ms   12 pps
[  3] 1290.0000-1300.0000 sec   167 KBytes   136 Kbits/sec  98.842 ms  792/  908 (87%) -/-/-/- ms   12 pps
[  3] 1300.0000-1310.0000 sec   168 KBytes   138 Kbits/sec  81.372 ms  775/  892 (87%) -/-/-/- ms   12 pps
[  3] 1310.0000-1320.0000 sec   144 KBytes   118 Kbits/sec  108.066 ms  683/  783 (87%) -/-/-/- ms   10 pps
[  3] 1320.0000-1330.0000 sec   146 KBytes   120 Kbits/sec  77.556 ms  745/  847 (88%) -/-/-/- ms   10 pps
[  3] 1330.0000-1340.0000 sec   139 KBytes   114 Kbits/sec  69.808 ms  812/  909 (89%) -/-/-/- ms   10 pps
[  3] 1340.0000-1350.0000 sec   135 KBytes   111 Kbits/sec  90.833 ms  788/  882 (89%) -/-/-/- ms    9 pps
