PING 100.100.100.10 (100.100.100.10) 56(84) bytes of data.
64 bytes from 100.100.100.10: icmp_seq=232 ttl=61 time=15.8 ms
64 bytes from 100.100.100.10: icmp_seq=233 ttl=61 time=19.9 ms
64 bytes from 100.100.100.10: icmp_seq=234 ttl=61 time=20.7 ms
64 bytes from 100.100.100.10: icmp_seq=235 ttl=61 time=19.9 ms
64 bytes from 100.100.100.10: icmp_seq=236 ttl=61 time=20.6 ms
64 bytes from 100.100.100.10: icmp_seq=237 ttl=61 time=20.4 ms
64 bytes from 100.100.100.10: icmp_seq=238 ttl=61 time=19.3 ms
64 bytes from 100.100.100.10: icmp_seq=239 ttl=61 time=29.3 ms
64 bytes from 100.100.100.10: icmp_seq=240 ttl=61 time=18.9 ms
64 bytes from 100.100.100.10: icmp_seq=241 ttl=61 time=14.3 ms
64 bytes from 100.100.100.10: icmp_seq=242 ttl=61 time=19.4 ms
64 bytes from 100.100.100.10: icmp_seq=243 ttl=61 time=19.0 ms
