{'Time_STAMP': '2020-11-27 17:34:06', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.35', 'U_RMS_A': '230.52', 'U_RMS_B': '230.44', 'U_RMS_C': '227.06', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.8', 'S_RMS_A': '189', 'S_RMS_B': '45.72', 'S_RMS_C': '1317.94', 'T_IGBT': '46.1', 'T_AMBIENT': '19.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:07', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.35', 'U_RMS_A': '230.52', 'U_RMS_B': '230.44', 'U_RMS_C': '227.06', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.8', 'S_RMS_A': '189', 'S_RMS_B': '45.72', 'S_RMS_C': '1317.94', 'T_IGBT': '46.1', 'T_AMBIENT': '19.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:10', 'CEI_ID': '1', 'U_DC': '787.7', 'I_DC': '1.35', 'U_RMS_A': '230.46', 'U_RMS_B': '230.5', 'U_RMS_C': '227.08', 'I_RMS_A': '0.83', 'I_RMS_B': '0.2', 'I_RMS_C': '5.81', 'S_RMS_A': '190.4', 'S_RMS_B': '45.92', 'S_RMS_C': '1319.08', 'T_IGBT': '46.2', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:11', 'CEI_ID': '1', 'U_DC': '787.7', 'I_DC': '1.35', 'U_RMS_A': '230.46', 'U_RMS_B': '230.5', 'U_RMS_C': '227.08', 'I_RMS_A': '0.83', 'I_RMS_B': '0.2', 'I_RMS_C': '5.81', 'S_RMS_A': '190.4', 'S_RMS_B': '45.92', 'S_RMS_C': '1319.08', 'T_IGBT': '46.2', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:12', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.35', 'U_RMS_A': '230.44', 'U_RMS_B': '230.52', 'U_RMS_C': '227.1', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.77', 'S_RMS_A': '189.34', 'S_RMS_B': '45.83', 'S_RMS_C': '1309.28', 'T_IGBT': '46.2', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:13', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.35', 'U_RMS_A': '230.44', 'U_RMS_B': '230.52', 'U_RMS_C': '227.1', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.77', 'S_RMS_A': '189.34', 'S_RMS_B': '45.83', 'S_RMS_C': '1309.28', 'T_IGBT': '46.2', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:14', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.36', 'U_RMS_A': '230.41', 'U_RMS_B': '230.51', 'U_RMS_C': '227.13', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.79', 'S_RMS_A': '187.55', 'S_RMS_B': '45.46', 'S_RMS_C': '1315.1', 'T_IGBT': '46.3', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:15', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.36', 'U_RMS_A': '230.41', 'U_RMS_B': '230.51', 'U_RMS_C': '227.13', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.79', 'S_RMS_A': '187.55', 'S_RMS_B': '45.46', 'S_RMS_C': '1315.1', 'T_IGBT': '46.3', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:16', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.35', 'U_RMS_A': '230.39', 'U_RMS_B': '230.51', 'U_RMS_C': '227.13', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.77', 'S_RMS_A': '187.3', 'S_RMS_B': '45.18', 'S_RMS_C': '1310.26', 'T_IGBT': '46.4', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:18', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.35', 'U_RMS_A': '230.39', 'U_RMS_B': '230.51', 'U_RMS_C': '227.13', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.77', 'S_RMS_A': '187.3', 'S_RMS_B': '45.18', 'S_RMS_C': '1310.26', 'T_IGBT': '46.4', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:19', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.37', 'U_RMS_A': '230.43', 'U_RMS_B': '230.52', 'U_RMS_C': '227.16', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.87', 'S_RMS_A': '187.78', 'S_RMS_B': '46.04', 'S_RMS_C': '1333.99', 'T_IGBT': '46.4', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:20', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.37', 'U_RMS_A': '230.43', 'U_RMS_B': '230.52', 'U_RMS_C': '227.16', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.87', 'S_RMS_A': '187.78', 'S_RMS_B': '46.04', 'S_RMS_C': '1333.99', 'T_IGBT': '46.4', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:21', 'CEI_ID': '1', 'U_DC': '788.3', 'I_DC': '1.38', 'U_RMS_A': '230.36', 'U_RMS_B': '230.47', 'U_RMS_C': '227.18', 'I_RMS_A': '0.83', 'I_RMS_B': '0.2', 'I_RMS_C': '5.85', 'S_RMS_A': '190.27', 'S_RMS_B': '45.98', 'S_RMS_C': '1328.68', 'T_IGBT': '46.5', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:22', 'CEI_ID': '1', 'U_DC': '788.7', 'I_DC': '1.37', 'U_RMS_A': '230.35', 'U_RMS_B': '230.48', 'U_RMS_C': '227.22', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.76', 'S_RMS_A': '189.89', 'S_RMS_B': '45.31', 'S_RMS_C': '1309.06', 'T_IGBT': '46.6', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:23', 'CEI_ID': '1', 'U_DC': '788.7', 'I_DC': '1.37', 'U_RMS_A': '230.35', 'U_RMS_B': '230.48', 'U_RMS_C': '227.22', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.76', 'S_RMS_A': '189.89', 'S_RMS_B': '45.31', 'S_RMS_C': '1309.06', 'T_IGBT': '46.6', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:25', 'CEI_ID': '1', 'U_DC': '788.4', 'I_DC': '1.35', 'U_RMS_A': '230.38', 'U_RMS_B': '230.47', 'U_RMS_C': '227.19', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.74', 'S_RMS_A': '188.24', 'S_RMS_B': '45.77', 'S_RMS_C': '1303.76', 'T_IGBT': '46.7', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
